State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Florida,Indian River County,160345,163662,633,2563
Florida,Jackson County,47214,47694,209,762
Florida,Jefferson County,14560,14555,61,192
Florida,Lafayette County,8252,8382,21,106
Florida,Lake County,385875,395804,1338,5542
Florida,Lee County,764679,787976,2278,9861
Florida,Leon County,292378,292817,669,2503
Florida,Levy County,43051,44158,144,670
Florida,Liberty County,7974,7900,22,89
Florida,Madison County,17976,18288,76,297
Florida,Manatee County,401443,412703,1271,5267
Florida,Marion County,377370,385915,1669,6192
Florida,Martin County,158529,159942,616,2501
Florida,Miami-Dade County,2692459,2662777,6840,26611
Florida,Monroe County,82809,82170,212,795
Florida,Nassau County,90993,94189,261,1257
Florida,Okaloosa County,211809,213255,617,2288
Florida,Okeechobee County,39641,40266,139,554
Florida,Orange County,1429899,1422746,2610,10606
Florida,Osceola County,390855,403282,805,3056
Florida,Palm Beach County,1492466,1497987,4576,18623
Florida,Pasco County,565745,584067,1869,7781
Florida,Pinellas County,958752,956615,3577,14614
Florida,Polk County,729233,753520,2291,8962
Florida,Putnam County,73347,74167,329,1188
Florida,St. Johns County,276916,292466,593,2673
Florida,St. Lucie County,331275,343579,1013,4429
Florida,Santa Rosa County,189133,193998,479,2023
Florida,Sarasota County,435664,447057,1820,7520
Florida,Seminole County,471058,470093,1040,4367
Florida,Sumter County,130897,135638,651,2687
Florida,Suwannee County,43510,44485,187,684
Florida,Taylor County,21760,21815,98,315
Florida,Union County,16126,16335,73,294
Florida,Volusia County,554901,564412,2186,8523
Florida,Wakulla County,33907,34690,87,402
Florida,Walton County,75855,80069,237,884
Florida,Washington County,25357,25436,100,339
Georgia,Georgia,10725800,10799566,25664,105276
Georgia,Appling County,18428,18488,59,251
Georgia,Atkinson County,8301,8391,27,68
Georgia,Bacon County,11123,11079,41,143
Georgia,Baker County,2844,2819,18,36
Georgia,Baldwin County,43773,43781,153,579
Georgia,Banks County,18069,18562,54,179
Georgia,Barrow County,83963,86658,177,785
Georgia,Bartow County,109311,110843,304,1252
Georgia,Ben Hill County,17153,17158,69,270
Georgia,Berrien County,18159,18147,63,278
Georgia,Bibb County,157104,156762,533,2051
Georgia,Bleckley County,12577,12607,48,167
Georgia,Brantley County,18040,18101,51,277
Georgia,Brooks County,16232,16270,65,226
Georgia,Bryan County,44999,46938,93,327
Georgia,Bulloch County,81378,82442,136,724
